Time                          Total bandwidth               
105.194                       0.0                           
105.295                       0.0                           
105.396                       0.0                           
105.496                       0.0                           
105.597                       0.0                           
105.697                       0.0                           
105.797                       0.0                           
105.897                       0.0                           
105.997                       0.0                           
106.098                       0.0                           
106.198                       0.0                           
106.299                       0.0                           
106.4                         0.0                           
106.501                       0.0                           
106.601                       0.0                           
106.701                       0.0                           
106.802                       0.0                           
106.903                       0.0                           
107.004                       0.0                           
107.105                       0.0                           
107.206                       0.0                           
107.307                       0.0                           
107.408                       0.0                           
107.509                       0.0                           
107.61                        0.0                           
107.711                       0.0                           
107.812                       0.0                           
107.912                       0.0                           
108.013                       0.0                           
108.114                       0.0                           
108.215                       0.0                           
108.315                       0.0                           
108.416                       0.0                           
108.516                       0.0                           
108.617                       0.0                           
108.718                       0.0                           
108.818                       0.0                           
108.918                       0.0                           
109.018                       0.0                           
109.119                       0.0                           
109.22                        0.0                           
109.321                       0.0                           
109.421                       0.0                           
109.521                       0.0                           
109.622                       0.0                           
109.723                       0.0                           
109.824                       0.0                           
109.924                       0.0                           
110.024                       0.0                           
110.125                       0.0                           
110.226                       0.0                           
110.327                       0.0                           
110.428                       0.0                           
110.528                       0.0                           
110.629                       0.0                           
110.73                        0.0                           
110.832                       0.0                           
110.932                       0.0                           
111.032                       0.0                           
111.132                       0.0                           
111.234                       0.0                           
111.335                       0.0                           
111.435                       0.0                           
111.535                       0.0                           
111.636                       0.0                           
111.737                       0.0                           
111.838                       0.0                           
111.939                       0.0                           
112.04                        0.0                           
112.141                       0.0                           
112.241                       0.0                           
112.341                       0.0                           
112.442                       0.0                           
112.543                       0.0                           
112.644                       0.0                           
112.744                       0.0                           
112.845                       0.0                           
112.946                       0.0                           
113.046                       0.0                           
113.147                       0.0                           
113.248                       0.0                           
113.348                       0.0                           
113.449                       0.0                           
113.549                       0.0                           
113.65                        0.0                           
113.75                        0.0                           
113.85                        0.0                           
113.95                        0.0                           
114.051                       0.0                           
114.152                       0.0                           
114.253                       0.0                           
114.354                       0.0                           
114.454                       0.0                           
114.555                       0.0                           
114.656                       0.0                           
114.756                       0.0                           
114.857                       0.0                           
114.957                       0.0                           
115.058                       0.0                           
115.159                       0.0                           
115.26                        0.0                           
115.36                        0.0                           
115.461                       0.0                           
115.562                       0.0                           
115.663                       0.0                           
115.764                       0.0                           
115.865                       0.0                           
115.965                       0.0                           
116.066                       0.0                           
116.166                       0.0                           
116.267                       0.0                           
116.368                       0.0                           
116.468                       0.0                           
116.569                       0.0                           
116.67                        0.0                           
116.771                       0.0                           
116.872                       0.0                           
116.973                       0.0                           
117.074                       0.0                           
117.175                       0.0                           
117.275                       0.0                           
117.376                       0.0                           
117.476                       0.0                           
117.577                       0.0                           
117.677                       0.0                           
117.779                       0.0                           
117.879                       0.0                           
117.979                       0.0                           
118.08                        0.0                           
118.18                        0.0                           
118.28                        0.0                           
118.381                       0.0                           
118.481                       0.0                           
118.583                       0.0                           
118.683                       0.0                           
118.784                       0.0                           
118.884                       0.0                           
118.985                       0.0                           
119.086                       0.0                           
119.186                       0.0                           
119.287                       0.0                           
119.388                       0.0                           
119.489                       0.0                           
119.59                        0.0                           
119.69                        0.0                           
119.791                       0.0                           
119.892                       0.0                           
119.992                       0.0                           
120.092                       0.0                           
120.193                       0.0                           
120.294                       0.0                           
120.395                       0.0                           
120.496                       0.0                           
120.596                       0.0                           
120.696                       0.0                           
120.797                       0.0                           
120.898                       0.0                           
120.999                       0.0                           
121.1                         0.0                           
121.2                         0.0                           
121.301                       0.0                           
121.402                       0.0                           
121.503                       0.0                           
121.604                       0.0                           
121.704                       0.0                           
121.805                       0.0                           
